Flow Duration,Total Fwd Packets,Total Backward Packets,Packet Length Mean,Flow Bytes/s,Protocol,Destination Port,Label
21173115,17,0,411.0,329.99394929309386,17,5353,0
5920912,2,0,92.0,31.07629350846346,17,137,0
20796227,14,0,387.0,260.52802181008576,17,5353,0
20161870,3,0,167.0,24.848885247614163,17,1900,0
22649957,13,0,792.5384615384615,454.8794327846198,17,5353,0
0,1,0,136.0,0,17,5353,0
13286187,5,4,60.666666666666664,41.09530998912363,6,27017,0
0,1,0,167.0,0,17,1900,0
21697046,17,0,387.0,303.2209901080183,17,5353,0
17466431,5,0,220.4,63.09245208855029,17,5353,0
22834762,9,0,92.0,36.26050363777699,17,137,0
16407936,9,0,287.0,157.42381673061476,17,5353,0
22825420,8,0,92.0,32.24475047482809,17,137,0
22752103,10,0,92.0,40.435821138259094,17,137,0
0,1,0,167.0,0,17,1900,0
22802421,9,0,92.0,36.31193281224749,17,137,0
0,1,0,506.0,0,17,5353,0
0,1,0,143.0,0,17,1900,0
0,1,0,82.0,0,17,1947,0
0,1,0,75.0,0,17,5353,0
43047,2,0,76.0,3530.989111290805,17,5353,0
81592,3,0,76.66666666666667,2818.876236394185,17,5353,0
116990,4,0,76.25,2607.0425009425408,17,5353,0
153115,5,0,76.2,2488.313590173992,17,5353,0
5135324,2,0,70.0,27.262155214398366,17,5355,0
23620690,8,0,92.0,31.159123176600342,17,137,0
0,1,0,167.0,0,17,1900,0
0,1,0,666.0,0,17,3702,0
14188262,5,5,60.0,42.28847623737676,6,64146,0
22618847,8,7,58.8,38.99402860688027,6,7680,0
22654522,8,8,58.5,41.3162534543402,6,64137,0
0,1,0,125.0,0,17,10004,0
34579,2,0,125.0,7229.813493294722,17,10004,0
73192,3,0,125.0,5123.485704792649,17,10004,0
109898,4,0,125.0,4549.649852044048,17,10004,0
0,1,0,70.0,0,17,22222,0
0,1,0,70.0,0,17,22222,0
0,1,0,70.0,0,17,22222,0
0,1,0,70.0,0,17,22222,0
0,1,0,70.0,0,17,22222,0
0,1,0,70.0,0,17,22222,0
0,1,0,70.0,0,17,22222,0
0,1,0,70.0,0,17,22222,0
23458162,6,0,92.0,23.53125479942635,17,137,0
0,1,0,56.0,0,17,3289,0
0,1,0,56.0,0,17,3289,0
0,1,0,56.0,0,17,3289,0
0,1,0,56.0,0,17,3289,0
24130473,9,0,92.0,34.31345829567833,17,137,0
24057921,11,0,92.0,42.065147391536314,17,137,0
1935214,2,0,126.0,130.21812179510397,17,5353,0
0,1,0,75.0,0,17,5355,0
20546681,6,0,81.0,23.653454256795417,17,5353,0
0,1,0,65.0,0,17,5355,0
3378559,2,0,70.0,41.43778026569603,17,5355,0
2121353,2,0,1125.0,1060.6434114895887,17,3702,0
2139602,3,0,1125.0,1577.3958583008985,17,3702,0
3118136,3,0,93.66666666666667,90.11793052551029,17,5353,0
3147830,4,0,100.0,127.07166486050548,17,5353,0
2227570,4,0,1125.0,2020.1382687793257,17,3702,0
22306115,12,0,76.0,40.885648805306886,17,5353,0
19055414,2,0,83.0,8.711434666560699,17,5353,0
16365037,7,0,76.85714285714286,32.874962977095755,17,5353,0
0,1,0,64.0,0,17,5355,0
